"Ocupacion","NoPago","TotalMonto","EstadoContrato","Producto","FechaInicioC","FechaAdjudicación","FechaUltimoPago","FechaProyectadaFin","MontoVencido","Mensualidad","Ingresos","Legal","EdadActual","AZULEstatus","AdjudicaReal","PagosPuntuales","CostoAdmin","Genero","PersonaTipo","dtEstadoContrato","GrupoOrigenVenta","SemanasAdjud","Pagos9","Domicilia_Pago","Email","timetotV"
97,57,326459,0,0,20170915,20180720,20220602,20220915,10880,5440,31268,1,22,0,0,55,24621,0,0,0,0,44,8,0,1,58
85,57,270752,0,0,20170915,20181019,20220602,20220915,4512,4512,17083,1,21,0,0,56,24621,0,0,0,0,57,8,0,1,58
97,57,309037,0,0,20170915,20181019,20220503,20220915,5150,5150,23596,1,44,0,0,56,24621,1,0,0,0,57,8,0,1,58
47,59,402122,3,0,20151218,20170120,20210311,20201218,13404,6702,34760,1,27,0,0,57,29999,1,0,2,0,57,8,0,1,60
116,60,520836,1,0,20150116,20150220,20191202,20200116,8680,8680,38000,1,52,1,2,59,28885,0,0,1,3,5,9,1,1,61
69,60,289247,0,0,20150116,20151120,20200102,20200116,9640,4820,25218,1,55,0,0,58,29315,0,0,0,0,44,9,1,1,62
15,47,312876,0,0,20150717,20160923,20190531,20200717,46926,5214,28121,0,39,0,0,38,22664,1,0,0,4,62,8,0,1,51
52,59,320033,1,0,20151218,20160819,20201030,20201218,0,5333,29166,1,31,1,2,59,27406,1,0,1,3,35,9,1,1,59
50,60,508894,0,0,20151121,20170217,20220525,20201121,0,8481,50447,1,43,0,0,60,28020,1,0,0,3,64.8571428571429,8,0,1,60
97,48,347606,6,0,20150821,20150821,20190703,20200821,5793,5793,34082,1,48,1,2,47,23024,0,0,2,0,0,9,0,1,49
34,40,220855,1,0,20150320,20151120,20180611,20200320,18400,3680,18285,0,33,1,2,35,19835,0,0,1,3,35,9,1,1,44
45,54,233157,0,0,20150619,20160415,20191008,20200619,34965,3885,22492,0,59,0,0,45,25921,0,1,0,0,43,5,0,1,60
53,57,353123,1,0,20151218,20160219,20220512,20201218,5885,5885,22992,1,56,1,2,56,29074,1,1,1,3,9,9,0,1,58
5,60,277837,1,0,20150515,20160115,20210419,20200515,0,4630,21876,1,41,1,2,60,34073,1,0,1,3,35,8,1,1,60
63,50,265511,4,0,20151218,20161118,20200131,20201218,22125,4425,23686,0,37,0,0,45,23561,0,0,2,3,48,9,1,1,55
78,58,225110,5,0,20150116,20160617,20191022,20200116,37510,3751,16013,0,27,0,0,48,28018,0,0,2,3,74,9,0,1,65
28,54,218243,4,0,20151218,20161021,20200502,20201218,7274,3637,15482,1,36,0,0,52,25282,0,0,2,3,44,9,0,1,55
97,49,222508,0,0,20150116,20160318,20190117,20200116,37080,3708,20684,0,23,0,0,39,24041,1,0,0,0,61,7,0,1,58
97,19,62501,1,0,20160318,20160819,20170907,20210318,10410,2000,6238,0,55,1,2,9,9417,0,0,1,3,22,8,1,1,23
126,59,300473,1,0,20151218,20160617,20210104,20201218,0,5007,19599,1,47,1,2,59,28245,1,0,1,0,26,9,0,1,59
19,60,298864,0,0,20150320,20160520,20200602,20200320,4981,4981,24703,1,41,0,0,59,30415,0,0,0,0,61,9,0,1,61
42,26,146703,5,0,20151120,20160415,20171127,20201120,24450,2445,14441,0,31,0,1,16,12931,0,0,2,0,21,6,0,1,31
50,11,93106,5,0,20151218,20160219,20161028,20201218,15510,2000,8576,0,41,0,2,1,5614,0,0,2,3,9,5,0,1,12
97,30,486177,1,0,20151218,20151218,20180511,20201218,32408,8102,39343,0,50,1,2,26,14671,0,0,1,3,0,9,1,1,33
