"Ocupacion","NoPago","TotalMonto","EstadoContrato","Producto","FechaInicioC","FechaAdjudicación","FechaUltimoPago","FechaProyectadaFin","MontoVencido","Mensualidad","Ingresos","Legal","EdadActual","AZULEstatus","AdjudicaReal","PagosPuntuales","CostoAdmin","Genero","PersonaTipo","dtEstadoContrato","GrupoOrigenVenta","SemanasAdjud","Pagos9","Domicilia_Pago","Email","timetotV"
50,27,162091,0,0,20180316,20190215,20200402,20230316,16206,2701,10702,0,37,0,0,21,12027,1,0,0,2,48,8,0,1,28
5,57,274245,1,1,20170915,20180216,20220520,20220915,4570,4570,26444,1,34,1,2,56,24621,1,0,1,3,22,9,0,1,58
97,60,365062,0,0,20150515,20160520,20200611,20200515,6084,6084,28088,1,25,0,0,59,29892,0,0,0,3,53,9,1,1,61
97,58,575455,0,0,20150515,20160415,20200925,20200515,9590,9590,46962,1,40,1,2,57,31166,0,0,0,0,48,8,1,1,59
63,56,349150,6,0,20170915,20181116,20220602,20220915,5819,5819,31350,1,27,0,0,55,24242,0,0,2,0,61,8,0,1,57
97,41,186807,0,0,20150515,20160318,20180831,20200515,18678,3113,14890,0,22,0,0,35,20227,0,0,0,0,44,9,0,1,47
15,31,289193,7,1,20180921,20190719,20210304,20230921,24095,4819,24410,0,20,0,0,26,13438,1,0,2,2,43,8,1,1,36
23,60,349212,0,1,20160923,20170818,20210827,20210923,5820,5820,39161,1,37,0,0,59,26905,0,0,0,3,47,9,0,1,61
5,60,349606,0,1,20170519,20171215,20220601,20220519,5826,5826,24576,1,50,0,0,59,26549,1,0,0,0,30,8,1,1,61
97,36,175828,6,0,20150515,20150515,20180327,20200515,5860,2930,15702,1,45,1,2,34,17928,1,0,2,3,0,8,1,1,38
62,37,181379,1,0,20190315,20190315,20220421,20240315,6044,3022,17152,1,36,1,2,35,15510,1,0,1,3,0,4,0,1,39
126,60,615614,0,0,20150515,20161021,20200701,20200515,20520,10260,51450,1,23,0,0,58,30318,1,0,0,3,75,8,1,1,61
105,41,256684,7,1,20190118,20191220,20220506,20240118,8556,4278,25001,1,45,0,0,39,17221,1,0,2,2,48,7,0,1,42
98,49,210573,5,0,20150515,20151218,20190401,20200515,3509,3509,18070,1,35,1,2,48,23797,1,0,2,3,31,8,1,0,50
85,60,315050,5,0,20170421,20180316,20220602,20220421,10500,5250,20037,1,37,0,0,58,26170,0,0,2,3,47,9,0,1,62
118,39,200248,6,0,20161021,20170421,20191230,20211021,20022,3337,10816,0,55,1,2,33,18021,0,1,2,0,26,8,0,1,45
50,51,292979,6,0,20180216,20181221,20220523,20230216,4882,4882,27016,1,20,0,0,50,21795,0,0,2,0,44,9,0,1,52
28,26,129185,1,1,20170915,20171020,20191031,20220915,17224,2153,7077,0,51,1,2,18,11788,0,0,1,0,5,9,0,1,34
114,51,303045,5,0,20160115,20160115,20200305,20210115,10100,5050,18044,1,32,1,2,49,23903,0,0,2,3,0,8,0,1,53
97,59,318320,0,0,20161021,20170915,20220118,20211021,10610,5305,36656,1,39,0,0,57,28364,0,0,0,0,47,9,0,0,61
58,58,290678,1,0,20161216,20170217,20210831,20211216,4844,4844,20718,1,21,1,2,57,25895,0,0,1,3,9,8,0,1,59
97,25,116281,0,0,20160115,20170818,20180112,20210115,15504,2000,12093,0,38,0,0,17,12310,1,0,0,3,83,7,0,1,32
50,50,295594,1,1,20180316,20180518,20220515,20230316,0,4926,22437,1,34,1,2,50,21416,1,0,1,2,9,8,0,1,50
58,46,281415,0,1,20180817,20190426,20220504,20230817,4690,4690,19619,1,44,0,0,45,19488,0,0,0,5,36,8,0,1,47
94,43,218721,6,0,20150515,20150515,20181001,20200515,0,3645,24399,1,50,1,2,43,21132,0,0,2,0,0,6,0,1,43
38,37,224827,7,1,20190426,20191115,20220602,20240426,0,3747,24258,1,41,0,0,37,15446,0,0,2,0,29,9,0,1,37
120,52,248878,0,0,20150515,20160819,20190709,20200515,16588,4147,27668,0,42,0,0,48,25125,0,0,0,0,66,7,0,1,55
85,60,320495,1,0,20170421,20170721,20220531,20220421,5341,5341,26409,1,34,1,2,59,26170,0,0,1,3,13,9,0,1,61
35,51,284291,1,0,20180316,20180720,20220601,20230316,9476,4738,28077,1,52,1,2,49,21795,1,0,1,3,18,7,0,1,52
63,48,359150,0,1,20180420,20181019,20220520,20230420,5985,5985,29974,1,38,0,0,47,20494,1,0,0,2,26,9,0,1,49
74,59,380701,0,1,20170421,20171117,20220228,20220421,6345,6345,32911,1,32,0,0,58,25789,0,0,0,5,30,9,1,1,60
18,54,328715,0,0,20171117,20181019,20220510,20221117,0,5478,31471,1,58,0,0,54,23193,0,1,0,3,48,9,0,1,54
74,49,251438,6,0,20180316,20190517,20220523,20230316,4190,4190,19871,1,36,0,0,48,21035,1,0,2,2,61,8,0,1,50
83,41,229510,1,0,20181221,20190517,20220513,20231221,7650,3825,20814,1,46,1,2,39,17290,0,0,1,2,21,8,0,1,43
121,22,106464,1,1,20191220,20200619,20210816,20241220,12418,2000,9837,0,33,0,0,15,9245,1,0,1,2,26,8,0,1,27
38,58,304595,5,0,20150515,20160617,20200427,20200515,5076,5076,26079,1,43,0,0,57,29032,1,0,2,3,57,7,1,1,59
117,50,292559,1,0,20180316,20190426,20220520,20230316,4875,4875,29149,1,46,0,0,49,21416,1,0,1,3,58,8,0,1,51
97,50,309597,0,0,20180316,20181019,20220601,20230316,10318,5159,30615,1,56,0,0,48,21416,1,1,0,0,31,9,0,1,51
79,60,326336,0,1,20170421,20171020,20220309,20220421,0,5438,28209,1,20,0,0,60,26170,0,0,0,0,26,9,0,1,60
23,57,336449,0,1,20171020,20180720,20220524,20221020,0,5607,32241,1,32,0,0,57,24621,0,0,0,0,39,7,0,1,57
117,53,285926,0,0,20171117,20181019,20220515,20221117,9530,4765,27312,1,50,0,0,51,22814,0,0,0,3,48,9,0,1,54
50,58,280311,0,0,20160115,20161216,20201002,20210115,9342,4671,15367,1,39,0,0,56,26892,0,0,0,3,48,9,0,1,60
50,22,106705,0,1,20170421,20171215,20190130,20220421,17780,2000,8838,0,32,0,0,12,10217,0,0,0,0,34,9,1,1,28
53,59,328023,0,0,20161216,20171215,20211116,20211216,0,5467,37636,1,25,0,0,59,27082,1,0,0,3,52,7,0,1,59
51,37,246332,1,0,20190426,20190719,20220602,20240426,0,4105,28233,1,30,1,2,37,15446,0,0,1,3,12,9,0,1,37
86,38,187417,0,0,20170217,20180518,20200328,20220217,31230,3123,20493,0,28,0,0,28,17318,0,0,0,0,65,8,0,1,41
97,37,237511,0,0,20150515,20160318,20180515,20200515,3958,3958,23313,1,54,0,0,36,18390,0,0,0,3,44,7,0,1,38
50,37,216586,7,0,20190426,20200221,20220430,20240426,3609,3609,18984,1,28,0,0,36,15446,0,0,2,2,43,9,0,1,38
97,59,337433,5,0,20170616,20180720,20220602,20220616,5623,5623,24365,1,61,0,0,58,25687,1,1,2,3,57,8,1,1,60
45,30,288973,5,0,20161216,20171020,20190410,20211216,9632,4816,17764,1,43,0,0,28,14002,1,0,2,3,44,7,0,1,31
35,60,231278,0,0,20161216,20170818,20211201,20211216,0,3854,24779,1,53,0,0,60,27472,0,0,0,0,35,6,0,1,60
45,54,375637,0,0,20150515,20160617,20200820,20200515,12520,6260,42625,1,26,0,0,52,30743,1,0,0,3,57,9,1,1,56
125,48,296249,1,1,20180615,20190215,20220601,20230615,4937,4937,17913,1,20,1,2,47,20411,0,0,1,0,35,8,0,1,49
97,59,367077,5,0,20170519,20180615,20220302,20220519,12234,6117,27961,1,47,0,0,57,25687,0,0,2,0,56,9,0,1,60
35,41,256020,6,0,20171117,20171215,20210302,20221117,21335,4267,23851,0,36,1,2,36,18057,1,0,2,4,4,8,0,1,44
65,60,404537,0,0,20160115,20170217,20210330,20210115,33710,6742,23718,0,32,0,0,55,28969,0,0,0,3,57,9,1,1,63
62,33,247148,1,0,20190816,20200918,20220530,20240816,8238,4119,18254,1,34,0,0,31,13738,0,0,1,3,57,7,0,1,35
50,29,113523,0,0,20160520,20170421,20180924,20210520,17028,2000,9789,0,24,0,0,20,13943,1,0,0,3,48,8,0,1,32
38,58,427512,0,0,20170421,20180420,20211204,20220421,7125,7125,32631,1,39,0,0,57,25500,0,0,0,2,52,8,0,1,59
97,30,189894,1,0,20191220,20200515,20220602,20241220,6328,3164,17452,1,32,1,2,28,12356,1,0,1,2,21,8,0,1,31
52,26,188909,1,0,20190315,20190315,20210311,20240315,28332,3148,14480,0,37,1,2,17,11197,1,0,1,2,0,8,0,1,30
15,47,335702,1,0,20180615,20190426,20220531,20230615,11190,5595,38069,1,29,0,0,45,20032,1,0,1,3,45,7,0,1,48
97,59,230076,6,0,20150619,20190215,20200302,20200619,7668,3834,19706,1,63,0,0,57,28075,0,1,2,0,191,8,0,1,60
6,60,307401,0,0,20150619,20180720,20220429,20200619,5123,5123,26283,1,51,0,0,59,37656,0,0,0,0,161,6,0,1,61
18,60,353023,0,0,20160115,20161216,20210302,20210115,11766,5883,18822,1,31,0,0,58,29483,0,0,0,3,48,8,0,1,61
28,43,213685,5,0,20160115,20160415,20190607,20210115,0,3561,15250,1,60,0,2,43,20502,0,1,2,3,13,7,0,1,43
17,40,324195,1,0,20190315,20190621,20220506,20240315,5403,5403,17418,1,45,1,2,39,16777,1,0,1,2,14,7,0,1,41
62,60,327499,0,0,20160923,20190719,20220120,20210923,0,5458,24381,1,39,0,0,60,28871,0,0,0,3,147,9,0,1,60
45,42,318835,0,0,20181116,20190920,20220601,20231116,10626,5313,26331,1,36,0,0,40,17669,1,0,0,2,44,6,1,1,43
58,12,115778,6,0,20150619,20150619,20160422,20200619,9645,2000,7926,0,47,1,2,7,6215,1,0,2,0,0,5,0,1,17
28,47,297732,6,0,20180316,20190118,20211224,20230316,44658,4962,18886,0,21,0,0,38,20262,1,0,2,0,44,8,0,1,48
28,56,350483,6,0,20170915,20190517,20220510,20220915,0,5841,28460,1,41,0,0,56,24143,1,0,2,0,87,8,0,1,56
23,55,332349,0,0,20170915,20180518,20220515,20220915,0,5539,34956,1,50,0,0,55,23764,0,0,0,0,35,9,0,1,55
5,6,45980,1,0,20181116,20181116,20190410,20231116,3064,2000,3502,0,32,1,2,2,2665,1,0,1,0,0,6,0,1,8
97,60,426229,0,0,20170421,20180316,20220511,20220421,0,7103,34498,1,50,0,0,60,26273,0,0,0,2,47,8,0,1,60
23,54,424875,6,0,20171117,20181116,20220509,20221117,14162,7081,35831,1,36,0,0,52,23193,0,0,2,3,52,9,0,1,55
53,13,67471,0,1,20170421,20171117,20180404,20220421,8992,2000,4589,0,57,0,0,5,6139,1,1,0,5,30,9,0,1,19
100,55,259848,0,0,20150619,20160415,20210504,20200619,4330,4330,15826,1,24,1,2,54,33956,0,0,0,3,43,8,1,1,56
28,41,397697,0,0,20181221,20191115,20220603,20231221,0,6628,28590,1,42,0,0,41,17221,0,0,0,0,47,8,1,1,41
28,39,283989,1,0,20190118,20190215,20220314,20240118,9466,4733,22778,1,27,1,2,37,16398,0,0,1,2,4,9,0,1,40
45,26,95821,0,0,20160923,20170721,20181001,20210923,15970,2000,9262,0,35,0,0,16,12347,1,0,0,3,43,9,0,1,35
97,59,393636,0,0,20170616,20180720,20220531,20220616,13120,6560,32966,1,27,0,0,57,25583,0,0,0,2,57,9,0,1,61
45,55,350362,0,0,20160115,20161216,20200731,20210115,23356,5839,26021,0,56,0,0,51,25623,1,1,0,0,48,9,0,1,58
50,32,139644,1,0,20150619,20150717,20171220,20200619,16289,2327,14660,0,27,1,2,25,16019,0,0,1,0,4,8,1,1,37
97,46,303727,0,1,20170421,20171117,20201210,20220421,0,5062,31013,1,42,0,0,46,20659,0,0,0,2,30,8,0,1,46
9,39,205325,0,0,20161216,20170915,20200115,20211216,23954,3422,11810,0,28,0,0,32,17947,0,0,0,0,39,6,0,1,45
68,53,384650,6,0,20171117,20180921,20220328,20221117,12820,6410,38137,1,28,0,0,51,22814,0,0,2,3,44,7,0,1,55
58,59,285124,0,0,20150619,20190719,20200716,20200619,9504,4752,27400,1,27,0,0,57,29795,0,0,0,3,213,8,0,1,60
97,28,187573,1,0,20191220,20200821,20220228,20241220,6252,3126,21674,1,35,1,2,26,11596,0,0,1,2,35,7,0,1,29
28,38,354773,7,1,20190426,20191115,20220602,20240426,5912,5912,20776,1,39,0,0,37,15889,0,0,2,2,29,8,0,1,39
97,52,262986,0,0,20171117,20181019,20220203,20221117,4383,4383,29447,1,47,0,0,51,22433,0,0,0,0,48,8,0,1,53
97,59,261646,0,0,20150619,20161216,20200918,20200619,4360,4360,19043,1,28,0,0,58,30642,0,0,0,3,78,6,0,1,60
117,22,97771,0,0,20170421,20180518,20190128,20220421,9774,2000,7509,0,49,0,0,16,10217,0,0,0,3,56,9,0,1,27
97,54,567829,0,0,20171117,20181116,20220506,20221117,18926,9463,64368,1,42,0,0,52,23193,1,0,0,3,52,9,0,1,56
50,31,177708,0,0,20181221,20191018,20210514,20231221,26649,2961,19921,0,26,0,0,22,13349,1,0,0,2,43,7,0,1,38
11,48,438762,5,0,20150619,20160219,20190430,20200619,14624,7312,41234,1,42,1,2,46,23273,1,0,2,3,35,7,0,1,49
58,37,231771,5,1,20170217,20170915,20200210,20220217,27034,3862,22331,0,30,0,0,30,16889,0,0,2,5,30,9,0,1,38
45,50,355480,1,0,20180316,20181221,20220513,20230316,0,5924,25241,1,29,1,2,50,21416,0,0,1,3,40,6,0,1,50
50,48,394935,7,0,20180420,20190920,20220425,20230420,6582,6582,31829,1,42,0,0,47,20494,0,0,2,0,74,7,0,1,49
63,55,304261,0,0,20150717,20160923,20200311,20200717,5071,5071,29166,1,25,0,0,54,26262,0,0,0,0,62,7,1,1,56
97,8,37023,1,0,20170519,20170915,20171204,20220519,2468,2000,2614,0,31,1,2,4,3809,1,0,1,0,17,8,0,1,11
42,57,344560,0,1,20170915,20180615,20220406,20220915,5742,5742,32756,1,37,0,0,56,24621,0,0,0,2,39,8,0,1,58
45,52,381294,5,0,20171020,20171020,20220112,20221020,12708,6354,31294,1,27,1,2,50,22521,1,0,2,0,0,9,0,1,54
97,53,254144,0,0,20170217,20180615,20210624,20220217,42350,4235,16513,0,46,0,0,43,23604,0,0,0,3,69,9,0,1,58
125,38,167177,7,1,20190426,20191115,20220515,20240426,0,2786,11692,1,38,0,0,38,15889,0,0,2,2,29,8,0,1,38
32,52,306506,6,1,20180119,20180817,20220511,20230119,5108,5108,27937,1,29,0,0,51,22345,0,0,2,3,30,8,0,1,53
32,39,233681,7,1,20190315,20200221,20220519,20240315,7788,3894,16496,1,21,0,0,37,16398,0,0,2,0,49,7,1,1,40
50,23,149039,6,0,20161021,20161021,20180808,20211021,22347,2483,12317,0,38,1,2,14,10935,0,0,2,3,0,8,0,1,29
15,43,218602,5,0,20160115,20160219,20190624,20210115,14572,3643,23383,0,43,0,2,39,20502,1,0,2,0,5,9,1,1,44
32,39,198043,7,0,20190315,20200117,20220603,20240315,0,3300,15264,1,41,0,0,39,16333,0,0,2,2,44,9,1,1,39
28,56,287346,1,0,20161216,20170818,20210630,20211216,0,4789,19933,1,51,1,2,56,25090,0,0,1,3,35,8,0,1,56
38,54,307678,5,0,20150717,20151218,20191121,20200717,10254,5127,23901,1,41,0,0,52,25830,0,0,2,0,22,6,0,1,55
23,56,258173,0,0,20171020,20180720,20220507,20221020,4302,4302,15502,1,33,0,0,55,24143,0,0,0,3,39,9,0,1,57
97,57,253093,0,0,20170915,20190621,20220602,20220915,4218,4218,21978,1,26,0,0,56,24621,1,0,0,3,92,8,0,1,58
23,15,73596,0,1,20170915,20180518,20181001,20220915,9808,2000,4416,0,35,0,0,7,6952,1,0,0,0,35,8,0,1,23
85,49,299166,1,1,20180420,20180817,20220514,20230420,9972,4986,20008,1,39,1,2,47,20873,0,0,1,2,17,9,1,1,51
126,59,254560,0,1,20170421,20180216,20220403,20220421,38178,4242,15156,0,35,0,0,50,26549,0,0,0,2,43,7,0,1,68
50,41,217863,1,0,20181221,20200515,20220603,20231221,3631,3631,20914,1,48,0,0,40,17221,1,0,1,2,73,7,0,1,42
15,59,311498,0,0,20150717,20160617,20200402,20200717,5191,5191,29144,1,38,0,0,58,27982,0,0,0,3,48,8,1,1,60
50,60,280644,0,0,20170421,20180518,20220303,20220421,4677,4677,27163,1,35,0,0,59,26170,0,0,0,3,56,7,0,1,61
125,57,267422,0,1,20170915,20180817,20220519,20220915,4457,4457,29469,1,26,0,0,56,24621,0,0,0,2,48,8,0,1,58
50,56,335020,1,0,20170915,20171020,20220516,20220915,0,5583,27674,1,34,1,2,56,24242,1,0,1,3,5,7,0,1,56
28,45,233674,0,0,20180817,20190719,20220519,20230817,0,3894,13700,1,33,0,0,45,19109,0,0,0,2,48,8,1,1,45
58,17,180439,6,0,20160115,20160318,20170421,20210115,12028,3007,12007,0,37,0,2,13,8553,0,0,2,3,9,6,0,1,20
9,25,135385,0,1,20180316,20181019,20200213,20230316,15792,2256,13645,0,29,0,0,18,11165,0,0,0,0,31,8,0,1,31
52,29,119413,0,0,20170915,20180817,20200110,20220915,7960,2000,11185,0,27,0,0,25,13085,0,0,0,3,48,9,0,1,33
118,42,194967,6,0,20170915,20170915,20210224,20220915,19494,3249,12816,0,73,1,2,36,18598,0,1,2,0,0,9,0,1,47
45,41,230422,6,0,20181116,20181116,20220530,20231116,3840,3840,24443,1,54,1,2,40,17290,1,0,2,3,0,8,0,1,42
50,32,158003,1,0,20171215,20180720,20200627,20221215,18431,2633,12526,0,39,1,2,25,14285,0,0,1,2,31,6,0,1,39
93,23,140411,1,1,20200619,20201016,20220602,20250619,0,2340,10784,1,37,1,2,23,9338,0,0,1,2,17,9,0,1,23
96,51,314962,6,1,20180316,20181116,20220510,20230316,10498,5249,26812,1,43,0,0,49,21795,1,0,2,2,35,8,0,1,52
124,33,182372,6,0,20150717,20150717,20180202,20200717,27351,3039,16229,0,35,1,2,24,16417,0,0,2,0,0,9,0,0,40
50,60,295979,1,0,20150717,20150717,20200831,20200717,9864,4932,20326,1,26,1,2,58,29693,0,0,1,3,0,7,0,1,61
96,60,221391,0,0,20150717,20160715,20210622,20200717,3689,3689,17770,1,41,0,0,59,33835,1,0,0,3,52,7,0,1,61
50,23,118250,0,0,20161216,20170818,20180922,20211216,19700,2000,11833,0,53,0,0,13,10885,1,1,0,1,35,8,0,1,29
68,44,282200,0,0,20160115,20161216,20190711,20210115,4703,4703,29370,1,27,0,0,43,20944,0,0,0,0,48,8,1,1,45
5,21,116729,1,1,20200117,20200717,20210921,20250117,19450,2000,7006,0,32,1,2,11,8778,1,0,1,2,26,9,0,1,28
94,58,244168,1,0,20160115,20160923,20200928,20210115,0,4069,21521,1,51,1,2,58,26985,1,0,1,3,36,8,0,1,58
15,54,290391,5,0,20171117,20180316,20220502,20221117,9678,4839,28278,1,59,0,1,52,23193,0,1,2,3,17,9,0,1,56
13,58,261658,5,0,20161216,20171215,20211123,20211216,8720,4360,23326,1,41,0,0,56,27082,0,0,2,2,52,8,1,1,60
62,23,105242,1,0,20200619,20201218,20220531,20250619,0,2000,7580,1,31,1,2,23,9390,1,0,1,3,26,9,0,1,23
23,48,286744,0,0,20180420,20190315,20220322,20230420,4779,4779,26052,1,43,0,0,47,20494,1,0,0,3,47,9,0,1,49
97,60,323822,1,0,20161216,20170217,20211118,20211216,10794,5397,27966,1,37,1,2,58,27082,0,0,1,3,9,6,0,1,61
76,54,301347,5,0,20170915,20180119,20220508,20220915,5022,5022,26681,1,45,0,1,53,23383,0,0,2,3,18,9,0,1,55
23,60,265143,1,0,20150717,20150918,20201002,20200717,4419,4419,22788,1,53,1,2,59,30537,1,0,1,0,9,8,1,1,61
97,42,235838,0,1,20171215,20180720,20210524,20221215,19650,3930,14481,0,33,0,0,37,18404,0,0,0,0,31,9,0,1,47
97,40,165455,0,0,20150717,20160520,20181002,20200717,11028,2757,17576,0,32,0,0,36,19556,1,0,0,0,44,9,0,0,43
28,37,142772,0,0,20171117,20180817,20201107,20221117,23790,2379,11283,0,26,0,0,27,16400,1,0,0,0,39,9,0,1,45
51,60,341827,1,1,20170421,20171215,20220411,20220421,0,5697,30444,1,36,0,0,60,26170,1,0,1,3,34,8,0,1,60
85,46,286562,6,0,20171020,20181221,20210607,20221020,0,4776,23184,1,47,0,0,46,20227,1,0,2,0,61,8,0,1,46
45,41,212251,7,0,20181116,20190920,20220531,20231116,0,3537,20535,1,29,0,0,41,17290,0,0,2,0,44,8,0,1,41
63,60,316137,5,0,20150717,20170317,20220412,20200717,52680,5268,29370,0,26,0,0,50,28413,0,0,2,3,87,7,0,1,68
58,56,336648,0,0,20170519,20180316,20211101,20220519,11220,5610,25569,1,34,0,0,54,24626,0,0,0,3,43,8,0,1,58
50,48,283675,6,0,20171215,20171215,20220323,20221215,4727,4727,26486,1,37,1,2,47,20878,0,0,2,0,0,7,0,1,49
97,56,417762,0,0,20170217,20171215,20210928,20220217,6962,6962,34750,1,28,0,0,55,24808,0,0,0,2,43,9,0,1,57
50,52,259416,0,0,20160115,20161216,20200317,20210115,34584,4323,20870,0,34,0,0,44,24418,0,0,0,0,48,7,0,1,60
15,60,322891,0,0,20150717,20161021,20200925,20200717,5381,5381,21533,1,30,0,0,59,30116,1,0,0,0,66,8,1,1,61
35,54,329732,5,0,20160115,20160219,20200506,20210115,0,5495,29190,1,39,1,2,54,25282,1,0,2,0,5,7,0,1,54
85,49,369297,0,0,20160520,20170519,20200512,20210520,0,6154,34080,1,35,0,0,49,22725,0,0,0,3,52,9,1,1,49
77,60,431992,1,0,20170421,20170421,20220315,20220421,7199,7199,32552,1,24,1,2,59,26170,0,0,1,0,0,8,0,1,61
28,30,245568,1,0,20190315,20190816,20210809,20240315,24552,4092,16477,0,47,1,2,24,12778,1,0,1,2,22,9,1,1,32
77,38,320163,1,0,20190426,20200417,20220602,20240426,10672,5336,17133,1,35,0,0,36,15889,0,0,1,0,51,8,0,1,40
69,43,359508,1,1,20181116,20190920,20220602,20231116,5991,5991,39506,1,50,1,2,42,18120,1,0,1,4,44,6,0,1,44
38,49,341674,6,1,20180420,20190517,20220602,20230420,0,5694,24472,1,40,0,0,49,20873,1,0,2,2,56,5,1,1,49
50,59,338241,0,0,20170120,20171117,20220429,20220120,11274,5637,31869,1,47,0,0,57,26191,1,0,0,0,43,8,0,1,61
35,59,361499,0,0,20160115,20160923,20201001,20210115,0,6024,29115,1,35,0,0,59,27406,1,0,0,3,36,7,0,1,59
50,60,282377,0,0,20160923,20170721,20220105,20210923,4706,4706,24057,1,37,0,0,59,28871,1,0,0,0,43,9,0,1,61
62,26,143384,0,0,20200417,20210924,20220602,20250417,2389,2389,8131,1,49,0,0,25,10630,0,0,0,2,75,7,0,1,27
117,30,188794,1,0,20191220,20201120,20220601,20241220,6292,3146,17147,1,39,0,0,28,12356,0,0,1,0,48,7,1,1,32
51,33,345620,0,1,20190816,20200221,20220523,20240816,11520,5760,31097,1,46,0,0,31,13738,0,1,0,3,27,6,1,1,34
50,48,395710,7,0,20180420,20190920,20220509,20230420,0,6595,24637,1,40,0,0,48,20494,1,0,2,0,74,8,0,1,48
126,53,485795,0,1,20180119,20180817,20220602,20230119,16192,8096,46512,1,41,0,0,51,22724,1,0,0,2,30,8,0,1,55
97,25,134733,0,0,20150717,20160415,20170622,20200717,17960,2245,9483,0,34,1,2,17,12650,0,0,0,3,39,8,1,1,30
58,49,315195,0,0,20180518,20190621,20220601,20230518,5253,5253,35211,1,36,0,0,48,20873,0,0,0,3,57,8,1,1,50
125,40,247631,0,0,20150717,20160520,20180917,20200717,16508,4127,22647,0,44,0,0,36,19630,0,0,0,0,44,8,1,1,43
69,46,291413,0,0,20180817,20190816,20220602,20230817,0,4856,21433,1,52,0,0,46,19488,1,0,0,2,52,8,0,1,46
50,58,415462,0,0,20160115,20161118,20200930,20210115,13848,6924,27032,1,47,0,0,56,26985,0,0,0,3,44,8,0,1,59
28,30,267587,0,0,20191115,20200221,20220601,20241115,0,4459,22642,1,38,1,0,30,12356,1,0,0,3,14,9,1,1,30
51,33,346126,7,1,20190816,20200221,20220523,20240816,0,5768,30875,1,46,0,0,33,13738,0,1,2,3,27,6,1,1,33
97,21,253949,0,0,20200821,20210924,20220603,20250821,4232,4232,19350,1,40,0,0,20,8482,0,0,0,0,57,9,0,1,22
28,12,101589,5,0,20160923,20170616,20170828,20210923,13544,2000,8613,0,33,0,1,4,5873,1,0,2,3,38,9,0,1,13
97,28,339510,1,1,20200221,20200821,20220513,20250221,11316,5658,34117,1,40,1,2,26,11542,0,0,1,2,26,7,0,1,30
68,34,232734,0,1,20190621,20200417,20220512,20240621,7756,3878,20003,1,30,0,0,32,14182,0,0,0,0,43,9,0,1,36
50,22,180917,1,1,20200717,20200918,20220601,20250717,6030,3015,15821,1,51,1,2,20,8909,0,0,1,2,9,9,0,1,23
68,54,455615,5,0,20170616,20171117,20211111,20220616,0,7593,42676,1,68,0,1,54,23660,0,1,2,0,22,9,0,1,54
97,18,123804,0,0,20160923,20170818,20180209,20210923,12378,2063,10867,0,27,0,0,12,8683,0,0,0,0,47,8,1,1,19
45,51,424093,6,1,20180316,20181221,20220516,20230316,0,7068,32286,1,39,0,0,51,21795,0,0,2,2,40,8,0,1,51
106,41,562169,6,0,20181116,20181116,20220530,20231116,18738,9369,32665,1,49,1,2,39,17290,1,0,2,2,0,9,1,1,42
5,39,281315,7,1,20190315,20191220,20220511,20240315,0,4688,19758,1,24,0,0,39,16333,0,0,2,2,40,8,0,1,39
97,48,421046,0,0,20180615,20190426,20220603,20230615,7017,7017,25673,1,65,0,0,47,20411,1,1,0,0,45,6,0,1,49
97,37,335697,6,1,20180615,20190118,20210527,20230615,39158,5594,34619,0,40,0,0,30,16091,0,0,2,2,31,8,0,1,40
23,57,334676,0,1,20170120,20170818,20220311,20220120,0,5577,37017,1,54,0,0,57,28127,0,0,0,3,30,8,0,1,57
117,34,195591,0,0,20160115,20161118,20181022,20210115,29331,3259,13975,0,38,0,0,25,16436,0,0,0,0,44,9,0,1,43
45,41,269057,6,0,20181116,20181221,20220531,20231116,0,4484,30753,1,45,1,2,41,17290,0,0,2,3,5,6,0,1,41
22,51,304508,1,0,20180316,20180921,20220504,20230316,0,5075,26444,1,46,1,2,51,21795,0,0,1,0,27,7,0,1,51
53,38,408163,1,0,20190426,20190426,20220602,20240426,0,6802,35654,1,31,1,2,38,15889,0,0,1,2,0,9,1,1,38
80,50,256426,1,1,20160923,20170818,20201002,20210923,29911,4273,22951,0,28,0,0,43,22803,0,0,1,5,47,9,0,1,57
38,51,577572,6,1,20180316,20181116,20220601,20230316,9626,9626,66200,1,42,0,0,50,21795,0,0,2,0,35,8,0,1,52
50,59,215481,1,0,20161021,20170519,20210831,20211021,14364,3591,24830,0,47,1,2,55,26398,1,0,1,0,30,9,0,1,60
45,60,304277,0,0,20160115,20161216,20210323,20210115,0,5071,26198,1,36,0,0,60,29483,1,0,0,0,48,8,0,1,60
50,59,442880,5,0,20150717,20160115,20220126,20200717,66429,7381,29678,0,34,0,1,50,36605,1,0,2,0,26,8,1,1,66
18,46,322778,1,1,20180817,20190215,20220601,20230817,0,5379,28245,1,27,0,0,46,19488,0,0,1,3,26,8,1,1,46
28,56,360462,5,0,20170217,20171215,20210929,20220217,6007,6007,31342,1,25,0,0,55,24808,1,0,2,0,43,9,0,1,57
39,56,272613,1,0,20150717,20160715,20200111,20200717,18172,4543,28346,0,30,1,2,52,26692,0,0,1,0,52,8,0,1,60
68,41,392877,6,0,20181221,20190118,20220602,20231221,0,6547,33129,1,22,1,2,41,17221,1,0,2,2,4,9,0,1,41
50,51,431895,0,0,20170421,20210924,20210603,20220421,0,7198,29878,1,57,0,0,51,22634,0,1,0,0,231,8,0,1,51
