"FechaUltimoPago","CostoAdmin","FechaAdjudicación","FechaInicioC","FechaProyectadaFin","MontoVencido","Ingresos","TotalMonto","SemanasAdjud","EdadActual","Mensualidad","Ocupacion","Y"
20220603,17221,20200515,20181221,20231221,3631,20914,217863,73,48,3631,50,1
20200402,27982,20160617,20150717,20200717,5191,29144,311498,48,38,5191,15,1
20220303,26170,20180518,20170421,20220421,4677,27163,280644,56,35,4677,50,1
20220519,24621,20180817,20170915,20220915,4457,29469,267422,48,26,4457,125,1
20220516,24242,20171020,20170915,20220915,0,27674,335020,5,34,5583,50,1
20220519,19109,20190719,20180817,20230817,0,13700,233674,48,33,3894,28,1
20170421,8553,20160318,20160115,20210115,12028,12007,180439,9,37,3007,58,0
20200213,11165,20181019,20180316,20230316,15792,13645,135385,31,29,2256,9,0
20200110,13085,20180817,20170915,20220915,7960,11185,119413,48,27,2000,52,0
20210224,18598,20170915,20170915,20220915,19494,12816,194967,0,73,3249,118,0
20220530,17290,20181116,20181116,20231116,3840,24443,230422,0,54,3840,45,1
20200627,14285,20180720,20171215,20221215,18431,12526,158003,31,39,2633,50,0
20220602,9338,20201016,20200619,20250619,0,10784,140411,17,37,2340,93,1
20220510,21795,20181116,20180316,20230316,10498,26812,314962,35,43,5249,96,1
20180202,16417,20150717,20150717,20200717,27351,16229,182372,0,35,3039,124,0
20200831,29693,20150717,20150717,20200717,9864,20326,295979,0,26,4932,50,1
20210622,33835,20160715,20150717,20200717,3689,17770,221391,52,41,3689,96,1
20180922,10885,20170818,20161216,20211216,19700,11833,118250,35,53,2000,50,0
20190711,20944,20161216,20160115,20210115,4703,29370,282200,48,27,4703,68,1
20210921,8778,20200717,20200117,20250117,19450,7006,116729,26,32,2000,5,0
20200928,26985,20160923,20160115,20210115,0,21521,244168,36,51,4069,94,1
20220502,23193,20180316,20171117,20221117,9678,28278,290391,17,59,4839,15,1
20211123,27082,20171215,20161216,20211216,8720,23326,261658,52,41,4360,13,1
20220531,9390,20201218,20200619,20250619,0,7580,105242,26,31,2000,62,1
20220322,20494,20190315,20180420,20230420,4779,26052,286744,47,43,4779,23,1
20211118,27082,20170217,20161216,20211216,10794,27966,323822,9,37,5397,97,1
20220508,23383,20180119,20170915,20220915,5022,26681,301347,18,45,5022,76,1
20201002,30537,20150918,20150717,20200717,4419,22788,265143,9,53,4419,23,1
20210524,18404,20180720,20171215,20221215,19650,14481,235838,31,33,3930,97,0
20181002,19556,20160520,20150717,20200717,11028,17576,165455,44,32,2757,97,0
20201107,16400,20180817,20171117,20221117,23790,11283,142772,39,26,2379,28,0
20220411,26170,20171215,20170421,20220421,0,30444,341827,34,36,5697,51,1
20210607,20227,20181221,20171020,20221020,0,23184,286562,61,47,4776,85,1
20220531,17290,20190920,20181116,20231116,0,20535,212251,44,29,3537,45,1
20220412,28413,20170317,20150717,20200717,52680,29370,316137,87,26,5268,63,0
20211101,24626,20180316,20170519,20220519,11220,25569,336648,43,34,5610,58,1
20220323,20878,20171215,20171215,20221215,4727,26486,283675,0,37,4727,50,1
20210928,24808,20171215,20170217,20220217,6962,34750,417762,43,28,6962,97,1
20200317,24418,20161216,20160115,20210115,34584,20870,259416,48,34,4323,50,0
20200925,30116,20161021,20150717,20200717,5381,21533,322891,66,30,5381,15,1
20200506,25282,20160219,20160115,20210115,0,29190,329732,5,39,5495,35,1
20200512,22725,20170519,20160520,20210520,0,34080,369297,52,35,6154,85,1
20220315,26170,20170421,20170421,20220421,7199,32552,431992,0,24,7199,77,1
20210809,12778,20190816,20190315,20240315,24552,16477,245568,22,47,4092,28,0
20220602,15889,20200417,20190426,20240426,10672,17133,320163,51,35,5336,77,1
20220602,18120,20190920,20181116,20231116,5991,39506,359508,44,50,5991,69,1
20220602,20873,20190517,20180420,20230420,0,24472,341674,56,40,5694,38,1
20220429,26191,20171117,20170120,20220120,11274,31869,338241,43,47,5637,50,1
20201001,27406,20160923,20160115,20210115,0,29115,361499,36,35,6024,35,1
20220105,28871,20170721,20160923,20210923,4706,24057,282377,43,37,4706,50,1
20220602,10630,20210924,20200417,20250417,2389,8131,143384,75,49,2389,62,1
20220601,12356,20201120,20191220,20241220,6292,17147,188794,48,39,3146,117,1
20220523,13738,20200221,20190816,20240816,11520,31097,345620,27,46,5760,51,1
20220509,20494,20190920,20180420,20230420,0,24637,395710,74,40,6595,50,1
20220602,22724,20180817,20180119,20230119,16192,46512,485795,30,41,8096,126,1
20170622,12650,20160415,20150717,20200717,17960,9483,134733,39,34,2245,97,0
20220601,20873,20190621,20180518,20230518,5253,35211,315195,57,36,5253,58,1
20180917,19630,20160520,20150717,20200717,16508,22647,247631,44,44,4127,125,0
20220602,19488,20190816,20180817,20230817,0,21433,291413,52,52,4856,69,1
20200930,26985,20161118,20160115,20210115,13848,27032,415462,44,47,6924,50,1
20220601,12356,20200221,20191115,20241115,0,22642,267587,14,38,4459,28,1
20220523,13738,20200221,20190816,20240816,0,30875,346126,27,46,5768,51,1
20220603,8482,20210924,20200821,20250821,4232,19350,253949,57,40,4232,97,1
20170828,5873,20170616,20160923,20210923,13544,8613,101589,38,33,2000,28,0
20220513,11542,20200821,20200221,20250221,11316,34117,339510,26,40,5658,97,1
20220512,14182,20200417,20190621,20240621,7756,20003,232734,43,30,3878,68,1
20220601,8909,20200918,20200717,20250717,6030,15821,180917,9,51,3015,50,1
20211111,23660,20171117,20170616,20220616,0,42676,455615,22,68,7593,68,1
20180209,8683,20170818,20160923,20210923,12378,10867,123804,47,27,2063,97,0
20220516,21795,20181221,20180316,20230316,0,32286,424093,40,39,7068,45,1
20220530,17290,20181116,20181116,20231116,18738,32665,562169,0,49,9369,106,1
20220511,16333,20191220,20190315,20240315,0,19758,281315,40,24,4688,5,1
20220603,20411,20190426,20180615,20230615,7017,25673,421046,45,65,7017,97,1
20210527,16091,20190118,20180615,20230615,39158,34619,335697,31,40,5594,97,0
20220311,28127,20170818,20170120,20220120,0,37017,334676,30,54,5577,23,1
20181022,16436,20161118,20160115,20210115,29331,13975,195591,44,38,3259,117,0
20220531,17290,20181221,20181116,20231116,0,30753,269057,5,45,4484,45,1
20220504,21795,20180921,20180316,20230316,0,26444,304508,27,46,5075,22,1
20220602,15889,20190426,20190426,20240426,0,35654,408163,0,31,6802,53,1
20201002,22803,20170818,20160923,20210923,29911,22951,256426,47,28,4273,80,0
20220601,21795,20181116,20180316,20230316,9626,66200,577572,35,42,9626,38,1
20210831,26398,20170519,20161021,20211021,14364,24830,215481,30,47,3591,50,0
20210323,29483,20161216,20160115,20210115,0,26198,304277,48,36,5071,45,1
20220126,36605,20160115,20150717,20200717,66429,29678,442880,26,34,7381,50,0
20220601,19488,20190215,20180817,20230817,0,28245,322778,26,27,5379,18,1
20210929,24808,20171215,20170217,20220217,6007,31342,360462,43,25,6007,28,1
20200111,26692,20160715,20150717,20200717,18172,28346,272613,52,30,4543,39,0
20220602,17221,20190118,20181221,20231221,0,33129,392877,4,22,6547,68,1
20210603,22634,20210924,20170421,20220421,0,29878,431895,231,57,7198,50,1
20220504,18950,20190621,20180518,20230518,30254,19246,259361,57,47,4322,62,0
20200828,29167,20201218,20150717,20200717,0,25699,280196,283,62,4669,97,1
20220601,11921,20200320,20191220,20241220,4006,24702,240409,13,26,4006,63,1
20220502,19109,20190517,20180817,20230817,10198,24026,305959,39,40,5099,115,1
20220429,22345,20180216,20180119,20230119,5088,18251,305329,4,40,5088,50,1
20220331,21416,20181116,20180316,20230316,22165,27456,266029,35,32,4433,126,0
20220602,22724,20181019,20180119,20230119,7143,37931,428618,39,40,7143,85,1
20200302,12992,20171215,20171117,20221117,23450,14494,201002,4,27,3350,97,0
20201210,30851,20151218,20150717,20200717,5668,29515,340082,22,34,5668,35,1
20210306,18057,20181019,20171117,20221117,34551,26086,230392,48,61,3839,97,0
20211122,27586,20170519,20161021,20211021,28092,28682,280972,30,39,4682,50,0
20220531,21416,20190426,20180316,20230316,0,23831,249090,58,69,4151,69,1
20220504,24242,20180518,20170915,20220915,10950,37696,328547,35,32,5475,58,1
20220513,22814,20181019,20171117,20221117,4647,28370,278824,48,23,4647,45,1
20220602,26066,20180720,20170616,20220616,4335,20146,260121,57,23,4335,50,1
20200518,27887,20160819,20150821,20200821,0,27434,319861,52,36,5331,5,1
20211206,33086,20160115,20160115,20210115,7726,19617,231820,0,37,3863,45,1
20200803,24005,20170421,20160520,20210520,21234,19367,212345,48,48,3539,50,0
20200703,28742,20161118,20150821,20200821,5183,32686,311026,65,19,5183,97,1
20190320,16617,20160715,20160520,20210520,11800,14487,177008,8,39,2950,28,0
20220603,26654,20170421,20170421,20220421,11488,20784,344697,0,36,5744,10,1
20210822,17762,20190426,20180420,20230420,25886,16439,221912,53,19,3698,23,0
20201209,30851,20160415,20150821,20200821,10668,22849,320068,34,29,5334,52,1
20210225,11676,20200417,20181221,20231221,32175,24149,214532,69,48,3575,68,0
20220506,16842,20190816,20190118,20240118,9178,29988,275381,30,50,4589,23,1
20210816,28952,20160819,20160520,20210520,6058,36831,363504,13,49,6058,46,1
20210730,25493,20171117,20161216,20211216,4754,16686,285287,48,35,4754,5,1
20200107,26166,20160219,20150821,20200821,18305,18556,219663,26,41,3661,5,0
20220531,15889,20190517,20190426,20240426,5845,30515,350712,3,56,5845,58,1
20220602,23764,20180720,20170915,20220915,0,23399,342087,44,38,5701,28,1
20220511,13738,20200221,20190816,20240816,5620,8945,168656,27,41,2810,5,1
20220531,22433,20190215,20171215,20221215,9796,25931,293934,61,48,4898,50,1
20220510,18574,20191220,20180921,20230921,0,18977,204087,65,31,3401,96,1
20220601,18574,20190215,20180921,20230921,8106,25261,243207,21,30,4053,117,1
20210901,26294,20171020,20161216,20211216,4375,30294,262543,44,60,4375,28,1
20180131,15430,20150821,20150821,20200821,25920,16196,172814,0,38,2880,45,0
20200918,21371,20171117,20161216,20211216,14682,50563,440495,48,18,7341,97,1
20211018,26690,20170915,20161216,20211216,5172,26944,310370,39,23,5172,68,1
20201202,30851,20160520,20150821,20200821,4580,20101,274846,39,39,4580,97,1
20180502,9057,20171020,20161216,20211216,16780,11084,100701,44,25,2000,97,0
20210827,14111,20191115,20190118,20240118,31848,13806,238869,43,54,3981,97,0
20220601,24143,20181019,20170915,20220915,0,25435,273537,57,49,4558,50,1
20210601,33309,20170915,20150821,20200821,0,20445,240413,108,57,4006,92,1
20220602,22724,20181221,20180119,20230119,5306,27272,318412,48,54,5306,97,1
20220421,25687,20170915,20170616,20220616,11928,33989,357872,13,36,5964,53,1
20210820,19148,20180119,20180119,20230119,4816,15307,289010,0,58,4816,94,1
20220505,22724,20181019,20180119,20230119,5576,25381,334615,39,33,5576,46,1
20220602,26549,20180817,20170519,20220519,0,23730,334049,65,43,5567,97,1
20191003,6219,20190621,20180921,20230921,7662,6796,76623,39,37,2000,23,0
20220502,26066,20180216,20170519,20220519,9446,17140,283415,39,37,4723,68,1
20220520,25687,20180119,20170519,20220519,0,36800,411022,35,25,6850,63,1
20220602,15889,20191115,20190426,20240426,0,25373,246187,29,54,4103,28,1
20220602,9338,20210528,20200619,20250619,4174,12198,125274,49,44,2087,97,1
20220531,23764,20181221,20171020,20221020,5816,24833,349013,61,19,5816,50,1
20210219,31679,20151218,20150821,20200821,0,13885,241986,17,43,4033,85,1
20220502,13738,20191018,20190816,20240816,4812,12120,144384,9,27,2406,52,1
20210212,29590,20161021,20150821,20200821,10114,25997,303461,61,35,5057,28,1
20220601,21795,20190517,20180316,20230316,4206,16862,252409,61,24,4206,5,1
20211104,26582,20170818,20161216,20211216,10654,18784,319641,35,68,5327,50,1
20220426,20032,20180720,20180615,20230615,4933,29379,296039,5,42,4933,15,1
20211130,21270,20180216,20171215,20221215,36515,31624,438225,9,23,7303,97,0
20220524,20032,20190517,20180615,20230615,0,15432,241465,48,33,4024,5,1
20190415,22221,20160819,20150821,20200821,15195,14525,182397,52,22,3039,23,0
20220512,30525,20170317,20161216,20211216,11700,38444,351006,13,41,5850,97,1
20211220,20725,20180720,20180119,20230119,5205,34342,312310,26,25,5205,11,1
20220602,23193,20180817,20171215,20221215,4658,27494,279503,35,40,4658,97,1
20220601,24143,20181019,20171020,20221020,5418,22977,325128,52,50,5418,50,1
20220602,8482,20210416,20200918,20250918,3724,11810,111765,30,25,2000,74,1
20220602,11059,20210122,20200221,20250221,2972,20752,178371,48,52,2972,28,1
20200715,14711,20181116,20171117,20221117,22736,21059,194884,52,54,3248,50,0
20220512,8058,20210219,20201016,20251016,0,28207,342228,18,54,5703,109,1
20200825,18009,20171215,20170519,20220519,18522,12422,185226,30,33,3087,85,0
20191202,16031,20171117,20170217,20220217,27840,24143,208835,39,30,3480,28,0
20220603,8058,20201218,20201016,20251016,0,9253,106806,9,48,2000,97,1
20211007,18096,20180615,20180615,20230615,28469,24076,244025,0,28,4067,20,0
20200331,17807,20171117,20170519,20220519,38799,16113,258692,26,34,4311,114,0
20220602,15446,20191018,20190426,20240426,0,18702,200075,25,33,3334,117,1
20220518,23193,20180119,20171215,20221215,5746,38168,344801,5,51,5746,28,1
20220510,9390,20210416,20200619,20250619,3478,7879,104342,43,24,2000,38,1
20220506,22814,20190118,20171215,20221215,0,23273,301752,57,32,5029,50,1
