FechaUltimoPago,CostoAdmin,FechaAdjudicación,FechaInicioC,FechaProyectadaFin,MontoVencido,Ingresos,TotalMonto,SemanasAdjud,EdadActual,Mensualidad,Ocupacion,Y
20180809,21799,20151218,20150116,20200116,27612,26702,414180,48.0,29,6903,97.0,0
20190617,26256,20150116,20150116,20200116,0,32397,298553,0.0,29,4975,91.0,1
20220506,29130,20181116,20170915,20220915,0,19852,285039,61.0,44,4750,58.0,1
20180418,18912,20150417,20150417,20200417,27384,17964,205398,0.0,67,3423,97.0,0
20210719,27013,20170915,20160819,20210819,11902,19751,357109,56.0,35,5951,11.0,1
20220503,27033,20190118,20170421,20220421,10492,17742,314781,91.0,36,5246,52.0,1
20220524,28871,20180921,20160923,20210923,4249,22712,254946,104.0,36,4249,126.0,1
20211214,26973,20170915,20170120,20220120,13780,39669,413415,34.0,24,6890,97.0,1
20220523,17741,20190118,20181116,20231116,10704,21689,321162,9.0,56,5352,23.0,1
20220602,17669,20181116,20181116,20231116,8420,17583,252656,0.0,66,4210,31.0,1
20200622,12425,20180817,20180420,20230420,17478,9823,116522,17.0,42,2000,97.0,0
20201201,24663,20170616,20160819,20210819,19150,18752,229835,43.0,46,3830,23.0,0
20210527,13349,20190719,20181116,20231116,26800,16850,201015,35.0,49,3350,83.0,0
20220531,20954,20180720,20180420,20230420,10436,26086,313131,13.0,24,5218,97.0,1
20220601,26549,20170721,20170421,20220421,5677,24712,340640,13.0,32,5677,38.0,1
20220412,29381,20170616,20160819,20210819,0,29225,359367,43.0,34,5989,50.0,1
20220518,17669,20181221,20181116,20231116,0,26012,251618,5.0,26,4193,97.0,1
20220601,18120,20200221,20181116,20231116,8638,22546,259176,66.0,30,4319,97.0,1
20181103,20529,20160415,20150619,20200619,15705,18772,188490,43.0,36,3141,47.0,0
20210816,27415,20170818,20160819,20210819,10322,25084,309683,52.0,66,5161,97.0,1
20220602,21416,20181221,20180420,20230420,6172,42338,370329,35.0,60,6172,97.0,1
20220527,20954,20190215,20180420,20230420,8084,17233,242532,43.0,45,4042,112.0,1
20220515,26549,20180420,20170421,20220421,4834,15767,290057,52.0,29,4834,68.0,1
20180510,15187,20170217,20151120,20201120,15462,12522,154662,65.0,25,2577,73.0,0
20220421,26066,20180518,20170519,20220519,11014,36400,330463,52.0,33,5507,97.0,1
20211105,27082,20180119,20161216,20211216,5956,19673,357376,57.0,24,5956,50.0,1
20220602,23666,20180119,20171020,20221020,11296,22912,338938,13.0,32,5648,28.0,1
20220326,30146,20170317,20160819,20210819,8084,21530,242550,30.0,34,4042,61.0,1
20220602,21333,20190719,20180420,20230420,0,20895,273162,65.0,33,4552,97.0,1
20220603,14117,20200717,20190816,20240816,0,17222,208855,48.0,47,3480,97.0,1
20220517,27140,20170915,20170217,20220217,4895,18731,293741,30.0,27,4895,50.0,1
20210520,20300,20180615,20170915,20220915,52190,16265,313158,39.0,38,5219,23.0,0
20220602,24621,20180921,20170915,20220915,0,33017,368378,53.0,36,6139,23.0,1
20220530,24242,20180817,20170915,20220915,0,19852,265445,48.0,48,4424,97.0,1
20210329,35237,20150220,20150116,20200116,0,30600,319646,5.0,40,5327,58.0,1
20200928,27549,20160715,20150619,20200619,5296,37053,317812,56.0,48,5296,19.0,1
20160602,6714,20160415,20150619,20200619,3372,4382,50639,43.0,48,2000,45.0,0
20210329,23370,20180216,20170120,20220120,46888,33883,351681,56.0,47,5861,50.0,0
20220601,18120,20190621,20181116,20231116,4640,19456,278458,31.0,25,4640,18.0,1
20220601,21333,20180720,20180420,20230420,5776,26869,346606,13.0,53,5776,58.0,1
20220516,17290,20190621,20181116,20231116,0,30983,329796,31.0,36,5496,42.0,1
20200716,29268,20160415,20150619,20200619,35280,18483,211736,43.0,28,3528,74.0,0
20210906,23355,20171215,20170519,20220519,36715,17209,314733,30.0,35,5245,58.0,0
20210920,24322,20171117,20170421,20220421,0,26849,330787,30.0,28,5513,91.0,1
20171205,2363,20171215,20170915,20220915,21336,17999,213384,13.0,36,3556,0.0,0
20200507,8332,20190719,20181116,20231116,24568,11922,184317,35.0,29,3071,97.0,0
20220518,17290,20190920,20181116,20231116,9528,31451,285884,44.0,45,4764,28.0,1
20220531,25687,20180216,20170519,20220519,6086,31712,365163,39.0,28,6086,97.0,1
20211101,23660,20180720,20170616,20220616,5254,23551,315265,57.0,28,5254,97.0,1
20220228,36990,20160520,20150619,20200619,9898,28203,296977,48.0,32,4949,0.0,1
20220531,26654,20180817,20170421,20220421,7460,43586,447631,69.0,36,7460,47.0,1
20220519,29381,20170915,20160819,20210819,17498,56273,524959,56.0,41,8749,50.0,1
20220502,26066,20180518,20170519,20220519,6217,36850,373058,52.0,41,6217,97.0,1
20220502,20873,20190315,20180420,20230420,11572,35718,347215,47.0,49,5786,63.0,1
20220517,17741,20190517,20181116,20231116,7120,12168,213606,26.0,29,3560,23.0,1
20220603,21333,20190315,20180420,20230420,9942,25157,298298,47.0,40,4971,58.0,1
20210524,23199,20171020,20170217,20220217,50337,24895,335595,35.0,40,5593,28.0,0
20220520,17669,20181221,20181116,20231116,4220,17399,253217,5.0,26,4220,41.0,1
20190823,7639,20180921,20180420,20230420,47010,27174,282068,22.0,38,4701,97.0,0
20210518,16553,20180420,20180420,20230420,87700,60693,526242,0.0,40,8770,97.0,0
20220301,26654,20170818,20170421,20220421,0,21481,369779,17.0,43,6162,85.0,1
20220603,20873,20190920,20180420,20230420,5791,25548,347484,74.0,44,5791,42.0,1
20210129,21561,20171215,20170217,20220217,25000,12834,187518,43.0,39,3125,28.0,0
20210203,22960,20170120,20170120,20220120,12308,67110,738520,0.0,20,12308,126.0,1
20220512,27745,20180720,20170120,20220120,9526,46377,571587,78.0,53,9526,28.0,1
20220603,20873,20181116,20180420,20230420,0,35879,361105,30.0,26,6018,50.0,1
20220511,23476,20180316,20170915,20220915,0,26850,275972,26.0,27,4599,100.0,1
20210301,29999,20161118,20151120,20201120,0,18644,235911,52.0,29,3931,52.0,1
20170519,4943,20160819,20160819,20210819,6286,4186,53901,0.0,76,2000,78.0,0
20220512,24242,20180518,20170915,20220915,10634,22771,319042,35.0,38,5317,118.0,1
20220502,17290,20190816,20181116,20231116,8634,21820,259030,39.0,19,4317,50.0,1
20220302,17290,20190621,20181116,20231116,11304,13256,169606,31.0,37,2826,97.0,0
20200526,21188,20170721,20160819,20210819,16880,28215,253250,48.0,27,4220,38.0,0
20220527,20873,20190215,20180420,20230420,4919,25038,295165,43.0,31,4919,125.0,1
20220117,25404,20171215,20170519,20220519,53740,26322,322493,30.0,29,5374,33.0,0
20220502,20954,20190426,20180420,20230420,4377,18087,262667,53.0,23,4377,117.0,1
20211214,19410,20190118,20180420,20230420,0,33564,360377,39.0,36,6006,58.0,1
20220308,26170,20180119,20170421,20220421,13208,34453,396289,39.0,51,6604,97.0,1
20220103,26374,20170217,20170217,20220217,0,30679,415039,0.0,36,6917,45.0,1
20220215,26759,20171020,20170217,20220217,5396,23793,323785,35.0,47,5396,18.0,1
20220527,26170,20171117,20170421,20220421,11742,27543,352297,30.0,29,5871,50.0,1
20220601,24143,20171020,20171020,20221020,11320,32906,339609,0.0,38,5660,58.0,1
20211202,19340,20180720,20180420,20230420,0,34222,335319,13.0,35,5588,97.0,1
20200708,19037,20170915,20170217,20220217,20772,16514,207765,30.0,46,3462,45.0,0
20220601,23193,20180921,20171117,20221117,5184,33224,311063,44.0,47,5184,97.0,1
